#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 299062:5950 | 07/15/17 03:04:10 | 301  | 294  | 0.071          | 0.060         |
| 299064:5950 | 07/15/17 05:04:34 | 79   | 78   | 0.017          | 0.016         |
| 299065:5950 | 07/15/17 05:49:29 | 328  | 321  | 0.066          | 0.059         |
| 299067:5950 | 07/15/17 08:12:55 | 459  | 459  | 0.078          | 0.071         |
| 299096:5952 | 07/15/17 15:27:14 | 96   | 96   | 0.027          | 0.025         |
| 299149:5954 | 07/16/17 01:40:41 | 442  | 442  | 0.125          | 0.112         |
| 299178:5958 | 07/16/17 12:24:55 | 74   | 70   | 0.020          | 0.016         |
| 299180:5958 | 07/16/17 12:57:51 | 94   | 68   | 0.027          | 0.016         |
| 299184:5958 | 07/16/17 13:42:24 | 561  | 555  | 0.140          | 0.127         |
| 299185:5958 | 07/16/17 17:26:15 | 120  | 120  | 0.026          | 0.024         |
| 299327:5960 | 07/18/17 07:53:09 | 72   | 69   | 0.018          | 0.016         |
| 299329:5960 | 07/18/17 08:25:06 | 172  | 172  | 0.041          | 0.039         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 26    | 82   | 24508 | 24298 | 5.098             | 4.793            |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
